iter,objective,fw_gap,delta_norm,gamma,e_star
0,-47392.7538670047,2.0252286512e+03,0.0000000000,NaN,3
1,-47519.3306917518,1.8986515664e+03,0.0690274046,0.0625000000,3
2,-47378.8171547488,1.6294750561e+03,0.0744201706,0.0052083333,2
3,-47577.8102768466,1.8401723762e+03,0.1875192656,0.1250000000,3
4,-47623.8145970213,1.7941680709e+03,0.2104422458,0.0250000000,3
5,-47661.1931056471,1.7567888547e+03,0.2290671672,0.0208333333,3
6,-47665.1143497185,1.7466369088e+03,0.2310211210,0.0022321429,3
7,-47572.4571010406,1.4358188683e+03,0.2327270143,0.0019531250,2
8,-47682.3940606660,1.7355886920e+03,0.2741984541,0.0555555556,3
9,-47704.0889234457,1.7138937842e+03,0.2845764543,0.0125000000,3
10,-47713.8269574799,1.7041552187e+03,0.2892347613,0.0056818182,3
11,-47716.0459091783,1.7019343196e+03,0.2902962244,0.0013020833,3
12,-47718.0912702116,1.6850992794e+03,0.2912747608,0.0012019231,3
13,-47646.3025062040,1.3619822404e+03,0.2921823096,0.0011160714,2
14,-47695.8856912619,3.1496583752e+03,0.3379843510,0.0666666667,3
15,-47708.8832404796,6.5174664770e+00,0.3858877337,0.0625000000,2
16,-47709.0749476350,6.3250547005e+00,0.4033384748,0.0294117647,2
17,-47709.1186438512,4.8274286782e+00,0.4073376029,0.0069444444,2
18,-47358.1700612577,1.6420640810e+05,0.4078078951,0.0008223684,1
19,-47708.9307121492,6.4705105942e+00,0.7279488483,0.1000000000,2
20,-47709.0847783410,6.3151104545e+00,0.7339313264,0.0238095238,2
21,-47709.1027168762,6.2941858820e+00,0.7346281492,0.0028409091,2
22,-47709.1149151735,1.2262974829e+02,0.7352927817,0.0027173913,10
23,-47757.9686914163,3.0875615041e+03,0.7483248128,0.0833333333,3
24,-47773.4064741022,3.0720433231e+03,0.7501053811,0.0050000000,3
25,-47775.2504532794,3.0491277768e+03,0.7503183217,0.0006009615,3
26,-47759.1317712870,2.1580202095e+05,0.7505232523,0.0005787037,2
27,-47763.5950405513,3.0819388537e+03,0.7525651245,0.0089285714,3
28,-47770.2371379136,3.0752929611e+03,0.7533234722,0.0021551724,3
