iter,objective,fw_gap,delta_norm,gamma,e_star
0,-599878.8807772408,7.7406062678e+02,0.0000000000,NaN,53
1,-625717.8111526532,2.3873106806e+03,1.7500000000,1.0000000000,18
2,-629810.1452974303,5.7170661307e+02,3.2500000000,0.6666666667,96
3,-642284.9749436445,3.9958211624e+02,3.2558593750,0.0078125000,97
4,-631976.5385891245,5.5405927802e+02,3.2613098145,0.0031250000,96
5,-618160.8607972761,4.2802849872e+04,3.2690045039,0.0104166667,102
6,-619163.7504290723,3.9830990890e+02,3.2767321624,0.0044642857,97
7,-612784.1274397465,2.8417406957e+03,3.2800979198,0.0019531250,96
8,-613553.8336568294,1.3469577941e+03,3.4400761599,0.2222222222,91
9,-637295.7264147029,2.1846848194e+03,3.1020609279,0.2000000000,58
10,-637301.9329295025,2.1784788768e+03,3.1046118912,0.0028409091,58
11,-631987.7670870029,1.4260521472e+02,3.1092753709,0.0052083333,89
12,-644129.7707438848,1.0746594751e+02,2.9001560831,0.1538461538,119
13,-644131.6896782429,1.0554693436e+02,2.9376532959,0.0178571429,119
14,-644132.1277220541,1.0509635456e+02,2.9462464071,0.0041666667,119
15,-639368.4707750269,1.7162285781e+03,2.9622913571,0.0078125000,97
16,-641391.9081181969,2.2539007588e+02,3.2020217857,0.1176470588,100
17,-641392.6907230132,2.2460746990e+02,3.2082647656,0.0034722222,100
18,-641393.0601427753,2.2423805486e+02,3.2112116985,0.0016447368,100
19,-641393.2347857018,2.2406462236e+02,3.2126091894,0.0007812500,100
20,-639931.0280144447,1.1567862789e+02,3.2139390933,0.0007440476,119
21,-640842.9010318936,1.2551346992e+02,3.2545313866,0.0227272727,119
22,-640844.2653082771,1.2414900856e+02,3.2735038715,0.0108695652,119
23,-640844.9119169213,1.2350144422e+02,3.2824960389,0.0052083333,119
24,-640845.0662916135,1.2334017156e+02,3.2846429188,0.0012500000,119
25,-640845.1403869677,1.2291991595e+02,3.2856737824,0.0006009615,119
26,-638010.9825316521,3.7769545133e+02,3.2866658694,0.0005787037,40
27,-643361.6677914058,3.1800605406e+02,3.4090468787,0.0714285714,100
28,-641723.0503300857,1.1574738037e+02,3.4099040733,0.0005387931,119
29,-642154.7948649469,1.2383665972e+02,3.4364056721,0.0166666667,119
30,-642155.7935477241,1.2283752663e+02,3.4490153037,0.0080645161,119
31,-642156.0334642545,1.2259664876e+02,3.4520445707,0.0019531250,119
32,-642156.1495464799,1.2247721706e+02,3.4535104376,0.0009469697,119
33,-642156.2619969866,1.1727385682e+02,3.4549318435,0.0009191176,119
34,-639261.2335776759,6.7630125824e+01,3.4556216060,0.0004464286,118
35,-642738.6099279631,1.9114109952e+02,3.5414204057,0.0555555556,100
36,-642331.2993990306,1.2015069606e+02,3.5420363599,0.0004222973,119
37,-642331.6946283572,1.1975057252e+02,3.5468322929,0.0032894737,119
38,-642331.7905625316,1.1946629201e+02,3.5479966901,0.0008012821,119
39,-639436.8079292162,6.0711497728e+01,3.5485638789,0.0003906250,118
